Perfil,Algoritmo,Semilla,Pasos,Distancia_km,Area_Covered_km2,Likelihood_Score,Acierto_Informada,Acierto_Ciega
autista,voraz-heur,0,190,2.2396551211459426,0.17533296138329876,0.05118806955249959,4.3,1.6
autista,voraz-heur,1,1000,12.543271272970866,0.2387757141169388,0.0630384805321963,4.9,2.1
autista,voraz-heur,10,1000,12.543271272970866,0.2387757141169388,0.0630384805321963,4.9,2.1
autista,voraz-heur,11,1000,12.543271272970866,0.2387757141169388,0.0630384805321963,4.9,2.1
autista,voraz-heur,12,1000,12.543271272970866,0.2387757141169388,0.0630384805321963,4.9,2.1
autista,voraz-heur,13,1000,12.543271272970866,0.2387757141169388,0.0630384805321963,4.9,2.1
autista,voraz-heur,14,1000,12.543271272970866,0.2387757141169388,0.0630384805321963,4.9,2.1
autista,voraz-heur,15,1000,12.543271272970866,0.2387757141169388,0.0630384805321963,4.9,2.1
autista,voraz-heur,16,1000,12.543271272970866,0.2387757141169388,0.0630384805321963,4.9,2.1
autista,voraz-heur,17,1000,12.543271272970866,0.2387757141169388,0.0630384805321963,4.9,2.1
autista,voraz-heur,18,1000,12.543271272970866,0.2387757141169388,0.0630384805321963,4.9,2.1
autista,voraz-heur,19,1000,12.543271272970866,0.2387757141169388,0.0630384805321963,4.9,2.1
autista,voraz-heur,2,1000,12.543271272970866,0.2387757141169388,0.0630384805321963,4.9,2.1
autista,voraz-heur,20,1000,12.543271272970866,0.2387757141169388,0.0630384805321963,4.9,2.1
autista,voraz-heur,21,1000,12.543271272970866,0.2387757141169388,0.0630384805321963,4.9,2.1
autista,voraz-heur,22,1000,12.543271272970866,0.2387757141169388,0.0630384805321963,4.9,2.1
autista,voraz-heur,23,1000,12.543271272970866,0.2387757141169388,0.0630384805321963,4.9,2.1
autista,voraz-heur,24,1000,12.543271272970866,0.2387757141169388,0.0630384805321963,4.9,2.1
autista,voraz-heur,25,1000,12.543271272970866,0.2387757141169388,0.0630384805321963,4.9,2.1
autista,voraz-heur,26,1000,12.543271272970866,0.2387757141169388,0.0630384805321963,4.9,2.1
autista,voraz-heur,27,1000,12.543271272970866,0.2387757141169388,0.0630384805321963,4.9,2.1
autista,voraz-heur,28,1000,12.543271272970866,0.2387757141169388,0.0630384805321963,4.9,2.1
